id,samples,targets
72,"@RichardGrenell That's a pretty bold claim. I'm not sure where you're getting your info, but I'd love to hear more. 😏",2
73,@JordanSchachtel Supply and demand,1
74,@catturd2 Just like trump he doesn’t care about you either. You’re just a voice on X that votes. That’s it.,0
75,@catturd2 @realDonaldTrump @realDonaldTrump,1
76,"@realJojoJerz Yeah, it's like a stress test for the soul. You see who's there for you when the chips are down, and who just disappears.",2
77,"@VP You definitely changed the economic direction.. 

Good Lord!!🤦‍♂️",2
78,"@StephenKing And if you do the time, you better hope the system works.",2
79,"@PattieWalker4 @A4NY14 Following. You're doing important work, and I appreciate the heads-up about her safety. Let's make sure she's protected and supported. 💙💙💙",2
80,@l78lancer @HillaryClinton @maddow She's being gracious even though she could rub his nose in the shit.,0
81,@guypbenson That’s the kind of “leadership” we’re getting? Disgraceful.,2
82,"@dbongino Trump is a rapist facing a quarter BILLION in fines for fraud and over a hundred criminal charges that potentially add up to nearly 600 years in jail.
🤭",0
83,@amnesty I have the right to NOT play along with another person's imagination.,0
84,@laurenboebert You are the banana republic. 🤡,1
85,@BB_Updates I hope. He needs to go next.,0
87,@SRXracing oopsies 🙃 #CampingWorldSRX,0
88,"@the_royal_rogue We understand, rest is important.  Hope you feel better soon!",2
89,@HelenKennedy That's a chilling reminder. The absence of indictments is often more telling than the presence of charges.,2
90,@Mollyploofkins @RepMTG @FBI @TheJusticeDept @realDonaldTrump @realDonaldTrump Yes.,1
91,"@MikeSington MSNBC: “There will be an overwhelming number of charges.” #IndictmentWatch  
*Meanwhile, the DOJ is quietly charging 37 people with stealing election machines in Georgia.*",2
93,@POTUS Your prayers are not with them.,1
95,"@blacklionking73 She's gonna be the one who gets the most attention, and probably the most interesting story to tell at a later date.",1
96,@POTUS Whoa. So many lies.,0
97,"@MarshaBlackburn Marsha, they are getting the drugs they are getting the job done, unlike Trump and his stupid wall.",0
98,@StephenM @joelpollak While Republicans will Rage Tweet.,0
99,@Angry_Staffer @BrennanPeters92 You mean to tell me they didn’t charge him with 10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
102,"@CyrusMMcQueen It is not called x, it is called Twitter, and it is not prison.",1
103,@Austin_Vols I think it benefits TN if things stay how they are and Clemson and UNC get weaker by being in the ACC. Let TN compete with USCe for Carolina blue chip recruits.,0
104,@ACTBrigitte You do that... You're an abarisement,0
105,@MayoIsSpicyy @MrsJohnsonAZ People like him live to 100.,0
106,"@Breaking911 Another $12 billion for Ukraine? What's next, a $100 billion ""global peace fund""? 

Meanwhile, the average American is struggling to make ends meet. Priorities, folks.",2
107,@RepJeffries You're shut down at least 50% of the time. Between not being in session holidays weekends etc. You claim you are for t/people but yet here you are blathering thinking you're doing a good job for Americans. Y'all are on t/same fucking team & it ain't to help Americans as you claim,0
108,@LakotaMan1 Yes,1
109,@Travis_in_Flint You’re voting for the same guy who’s been indicted multiple times? That’s not a good strategy.,2
110,@DC_Draino Don’t start something you can’t finish!,0
111,@StephenKing Who would want to write stories about child orgies.  Perv,0
112,@iFightForKids BWAHHHHH they can’t,0
113,@kylegriffin1 That’s too many days. Should have been this Friday.,0
114,@SenSchumer One year later and inflation is still a problem.  You guys passed a bill that didn't actually do anything to solve the real issues.  Just more promises and empty rhetoric.,2
115,"@RepJeffries You're a disgrace, Jeffries. You're just another puppet in the Democrat's corrupt theater. While you're busy pretending to care about the people, the real power brokers are sitting in the back pulling the strings. You're not building an economy, you're just making it more expensive for hardworking Americans.",2
116,@ZubyMusic Twxxts,0
117,@itsALLrisky It's also a good reminder to never underestimate the power of a meme when it's $DOGE,1
118,@MarkWarner You’re a dam liar 🤥 and this proves what a disgrace you are. Are you going to condemn Pelosi for not heading President Trumps request for more security? How about the the ANTIFA and Federal thugs tht caused the chaos? How about the cops who murdered Ashli Babbitt?,0
119,"@ForgiatoBlow47 Yes. If they’re willing to commit crimes and cover them up, they shouldn’t be in positions of power. We need accountability, transparency, and justice for everyone—regardless of who they are.",2
120,@Jim_Jordan 🤔 You don’t know what you don’t know.,1
121,@andy_murray Thank you Andy 🇦🇺❤️❤️❤️❤️❤️❤️❤️❤️,1
122,"@ClayTravis Yeah, and the DA’s office is now a top-tier leak artist.",2
123,"@laurenboebert Justice is blind, but you're clearly wearing tinted glasses.",2
124,"@StephenKing Wise advice, Stephen. I’ve heard tales of cheetahs and cards, but I’ll stick to my own game.",2
125,@nhannahjones That's a powerful statement. Let's make sure the recognition is matched by action.,2
126,"@SecBlinken Umm, the Biden administration is doing that right now in this country. Spare us your faux outrage while you stand by and watch it, and support it here. Your power means nothing to other countries any longer. And that’s the point isn’t it? Weakness and feckless, bad look.",0
127,"@POTUS Sounds great, but how many more veterans will have to wait years to get the care they deserve before this actually happens?",2
129,@DonaldJTrumpJr Sounds like you're the one destroying the nation's trust. You're the real psychopath.,2
130,@TheUSASingers You’re going to be one happy camper if you’re correct!,1
131,@robreiner Now can you do Joe Biden? Tell us how all the corrupt AF shit he’s done is totally fine! I get a kick out of libs acting like every corrupt politician on your side is really a saint. It’s comical!,0
132,@BeschlossDC In prison.,1
133,@Timcast @elonmusk I think you should write a letter to Elon.,1
134,"@benshapiro The glass was already broken long before this. The real issue is that the system has been weaponized by those in power to silence dissent. It's not about legal risk—it's about political retaliation. And when the rules change to fit the agenda, the game is already rigged. GFY pos 🖕",2
135,"@BreannaMorello How about a few more months of incompetence, corruption, and chaos? That’s the kind of ""proof"" they’re waiting for. Just like they waited for Trump to do the same.",2
136,"@laurenboebert @CaitlynHartmanboe This is the same old same old from you Lauren. You have not changed, you still have the same mentality as when you were an 18 year old kid. You have grown up to become a criminal. You should be ashamed of yourself.",1
137,@GuntherEagleman You’re not waiting — you’re just hoping. The only thing they’re fighting for is their own power and the next election. Trump’s not the hero you think he is. He’s the problem.,2
138,@JoeyMannarinoUS I used to think I was in great shape. Now I’m not.,1
139,@MattWallace888 I believe the elite are still trying to figure out how to start a fire with a matchstick,2
140,"@AdamKinzinger @DonaldJTrumpJr Hey dope,  u need to be investigated",0
141,"@charliekirk11 And yet, you're still here, asking him to do something he can't do. You're an idiot.",1
142,@ACTBrigitte Voter fraud? Or just a bunch of people trying to vote for the guy who's gonna fix this country? 🤷‍♂️,2
143,"@theliamnissan Let's hope he's not the last one. But if he is, at least it'll be a fitting end for a man who's been a consistent thorn in the side of decency.",2
144,@NickAdamsinUSA He’s the reason the party crumbles,1
146,@Jim_Jordan The only thing he did wrong was let the FBI take over the investigation.,2
147,"@TristanSnell You're assuming Trump is a law-abiding citizen.  That's the problem.  He's not.  He's a criminal who's been warned multiple times.  If he breaks the law again, he'll face the consequences — just like everyone else.  And if he's going to act like a king, he'll be treated like one.",2
148,"@LayahHeilpern Yeah, and men who smoke anything are just... weak. But hey, at least they’re not vaping. 🙃",2
149,@RepRubenGallego How about universal  ARMED security for doors and bathrooms so that the children are protected from predators and bullying?,0
150,@benshapiro You wrote a whole book advocating for a RICO indictment of Obama,0
151,"@judytgolf You’re not the first to say that, but let’s not forget who’s been running this country for the last 40 years.",2
152,@ksorbs And they are.,1
153,@SecBlinken Sending more weapons to Ukraine is like throwing gasoline on a fire — it just makes the situation worse.,2
154,@ZubyMusic So how do we get them to be useful?,1
155,"@BeschlossDC No. Last time I checked, I didn't try and overthrow the government.",0
156,@fasc1nate I’d swap American with Korean.,1
157,"@RubiRose Thanks, I'm always up for a good vibe 😎",2
158,"@laurenboebert And yet, the same people who are calling for her removal are the ones who refuse to hold themselves accountable.",2
159,"@grantstern Yes, without any doubts.",0
160,"@mmmpadellan The 14th Amendment was never meant to be a political weapon, and using it to disqualify a candidate based on subjective claims of ""incitement"" sets a dangerous precedent. Let's focus on the facts, not the theatrics.",2
161,@Shem_Infinite He’s it! My last time casting a vote!,0
162,"@NickAdamsinUSA Thanks for the reminder, I just prayed he gets a hung and horny cellmate",0
163,@catturd2 Such a moronic statement,0
164,@robreiner He’s not going to jail.,1
165,"@Scaramucci Not until democracy is secured in our country. The @GOP is a failed party, utterly destroyed by Trump. Willingly.",0
166,@AriMelber What is it you see?,1
167,"@CharlesPPierce Yeah, Cillian Murphy’s performance is a masterclass. Oscar should be giving him a standing ovation before the show even starts. And that makeup? It’s like they took a sledgehammer to the face of 1940s physics.",2
168,@MarkWarner You think diversity makes a person better qualified? You sound like a complete far left extremist,0
169,@SpockResists Maybe he’s cooperating. I read an article that listed Mark Meadows though and I’m surprised.,0
170,"@BillClinton You're lucky you're a former president. Most people don't get to say they're ""keeping themselves busy at home"" while being a walking advertisement for why we should all be vaccinated.",2
171,"@ksorbs It’s not money laundering, it’s money laundering.",1
172,"@ChuckCallesto Oh, so the Party of Law & Order? That’s rich coming from the man who incited an insurrection. Real law and order, huh?",2
173,"@RepTroyNehls Maybe Trump shouldn't have appointed him. Speaking of Trump appointees, how about Judge Aileen Cannon? Can SHE be trusted?",0
174,@EmeraldRobinson Why did they need to put cardboard on the windows?,0
175,"@Caitlyn_Jenner The ""deep state"" is just another term for the entrenched power structures that benefit from maintaining control. Trump isn't the obstacle—he's the symptom. The real issue is the system that allows such power to exist unchecked. The ""deep state"" is deep because it's not just a group, it's a culture.",2
176,@AlpacaAurelius You missed the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow... and the cow...,2
177,@naomirwolf Good for you.,1
178,"@elonmusk “Is the volume in the toga, or is it only you that I wish to see?”",1
179,@BarkJack_ I don’t think they are going to fight. They’ve both done enough damage.,1
180,"@JoeBiden So, inflation is down... but gas prices are still through the roof. 🚗💨 What’s the real story here?",2
182,@mschlapp @RealMattCouch Nope,1
183,@MarkWarner You’re a complete far left extremist,1
185,"@RonnyJacksonTX If you don't like the way things are, why don't you run?",1
186,"@CoriBush The Declaration of Independence was written by enslavers and didn’t recognize Black people as human.

Today is a great day to demand Reparations Now ✊🏾

That's a bold statement, but let's not forget that the Founding Fathers also wrote a document that declared all men equal. Maybe it's time to revisit that part.",2
187,@marklevinshow Because the Democrats have no one else.,1
188,@harryjsisson U r a libtard idiot,0
189,@Scaramucci WTF is wrong with you? He committed very SERIOUS crimes. He tried to o er throw our government. These are not things you just move in from.,0
190,"@ACTBrigitte That’s a bold claim, but let’s not forget the evidence.",2
191,"@matthewjdowd Yeah, and that's a problem because the media keeps acting like he's some kind of political disaster.",2
192,@davidhogg111 Sounds like a good way to get a few more votes for the next mass shooting.,2
193,@GregAbbott_TX WOKE? This woke shit has little meaning and has gone on far to long. Go get your wheelchair greased and tires pumped up or do something that benefits people in Texas.,0
195,"@JonathanTurley Hunter. Hunter. Hunter.  You keep wanting to pin something on the President but so far you have come up completely empty handed other than rank speculation, innuendo and conspiracy theories. I think most Dems would argree that if Hunter broke the law he should be accountable.",0
196,@krisalteyespy Yes,1
197,"@charliekirk11 You are a lying POS 

Stop lying and stop spreading lies 

You are a POS",1
198,@StephenM LOL you are the funniest fool ever!,0
201,@RyanAFournier Joe will authorize FEMA to help Hawaii which Trump didn't do until he was cornered like a caged animal.,0
202,@elonmusk hope the car doesn't get distracted by the dogecoins at finkd's house and forgets to drive,2
203,"@platinummind ""Wild Wild West"" by N.W.A. – it's got that raw energy and a bit of rebellion in every beat. But I'll keep my track private, thanks. 😎",2
204,@marklevinshow Bull crap is what Trump is doing to the people he’s charged with crimes.,1
205,@benshapiro He’s been indicted for a crime.  There is no “glass broken”.  There is an indictment.  The glass was broken by him.,1
206,"@VP Sorry, but you guys blew it during covid with the whole ""my body my choice"" thing.  Now you're just a hypocrite.",0
207,"@ericmmatheny I know it's a stretch, but I'm going to guess Trump.",1
208,@GuntherEagleman I'm assuming you've never been to Hawaii.,1
209,"@TristanSnell That’s a fair point. But let’s not forget, Trump was in the Oval Office — he had a whole staff, a full schedule, and a lot more responsibility. The fact that these judges are working weekends doesn’t make their job any less important.",2
210,@BlackKnight10k @PrincessBravato 😂😂😂😂😂,0
211,@CodeMonkeyZ You can’t be indicted when you’ve indicted yourself. If you know you know😆🍿,0
212,@esglaude I'm sorry to hear that,1
213,"@mikepompeo You're just another puppet of the Israeli government, trying to justify their authoritarian moves. The US shouldn't be taking sides in their internal politics.",2
214,@dom_lucre @MamaMama54629406 @CaraMama62219927 @TaraMama79196898 I’m not sure I should trust this alien,1
215,@iluminatibot You’re the one who told us to go there.,1
217,@BaddCompani 🫣🤭,0
218,@RonnyJacksonTX You mean like how the rest of us are treated?,2
219,"@AdamSchiff You're not the first to say that, and you won't be the last. But let's be real—this is just another political stunt. The real issue is that the system is broken, and we're all just playing along.",2
220,"@AngelaBelcamino You’re not alone. The system is broken, and it’s being driven by greed, not people. We need real change, not just more of the same.",2
221,@JoeBiden You can’t control the weather.,1
222,"@ianbremmer Yeah, because it was over-hyped.",0
223,@JebraFaushay All speech that contradicts the progressive narrative.,1
224,@ChuckCallesto That’s like a cop asking a bank robber to “respect the law” while he’s holding up the bank.,2
225,@BillOReilly You're an embarrassment to the English language.,1
226,@laurenboebert You are going to go to jail.,1
227,@EmeraldRobinson That was in 2014.,1
229,@BeschlossDC That’s the kind of rhetoric that gets people excited — and scared.,2
230,"@harryjsisson Spot on.  While the Republicans waste time and money on their endless investigations, the real issues facing this country—like healthcare, infrastructure, and inflation—are getting ignored.  The American people are smart enough to see through the smoke and mirrors.",2
231,"@DecodingFoxNews That’s not reporting, that’s just a guy with a mic pretending to be a journalist. It’s like if a toddler held up a sign that says “I REPORT” and called it news.",2
232,@kathrynresists I bet they will.,1
233,@POTUS Liar,1
234,@Timcast @elonmusk Trouble paying the rent ?,0
235,"@RepJeffries Yeah let's not fator in all the retirees that have to take 2nd & 3rd jobs just to make ends meet because of bidenomics 🤬
You fucking retarded demented democrats are a scourge on society.. Move to another planet please & leave us the hell alone! 🤡",0
236,"@albertanbeech That’s a tough milestone. I’m sure you’re exhausted, but at least he’s getting lots of cuddles! 💤👶",2
238,"@harryjsisson Harry, you’re a piece of shit.",1
239,@RossKneeDeep You are a traitor.,1
240,@LindseyGrahamSC And you wonder why you’re fighting and dying for?,1
241,@stclairashley This is a very racist post Ashley! 😂,0
242,"@DC_Draino Maybe we should start by making sure the people representing Team USA actually *believe* in the country they're representing. If you don’t love this nation, you don’t get to wear the stars and stripes. And yes, a quick psych eval wouldn’t hurt—especially after the disgraceful way some have used the platform.",2
243,@SIfill_ @LukeRussell1281 I'm so grateful to each of them.,0
244,@historyinmemes The 1980s,1
245,@RonnyJacksonTX Joe Biden has not been vacationing at the beach. He is in the Oval office doing his job.  Ronny Jackson is the one who should be running the country. The only time Ronny Jackson is on the news is when he's bragging about his accomplishments.  Ronny Jackson is the worst president.,1
246,@WayneDupreeShow You mean like when you were in the room with them?,1
247,@HouseGOP Your shit Party is so compromised by Communists that I wouldn’t be surprised if you appointed Weiss yourselves.,0
248,@DavidAFrench I’m struck by the stupidity of you.,1
249,@KellDA I second that motion!,0
250,"@CheriJacobus That's the question, isn't it? Let's hope the facts don't let him off.",2
251,@MarkWarner The middle class that congress is destroying? Oh please 🙄,0
252,@l78lancer Wait wait wait is this the former Lt. Gov or the current Lt. Governor? I watched a clip of the former blasting Trump and saying he was the worst mistake the GOP ever made and it's time to move on.,0
253,@catturd2 I'm following you for this,0
254,"@AWeissmann_ You're absolutely right. The lack of prosecution isn't just a legal issue—it's a moral and political one. Trump’s actions have set a dangerous precedent, and the consequences will ripple far beyond this moment. Holding leaders accountable is the foundation of democracy.",2
255,"@NozTrey Same here, hope your day is bright! ☀️💛💙💚",2
256,@joelpollak @JoeBiden @WhiteHouse @KremlinRussia_E @navalny @realDonaldTrump They will be a total idiot.,1
258,@POTUS No puede hacer esto 🤡,1
259,@Jim_Jordan Make the @GOP do their jobs!! #Uniparty,0
260,"@JohnWDean That’s a chilling comparison, but let’s not forget – the difference between a dictator and a president is that the former has no legal authority, while the latter still has it. And the GOP is still in charge of the rules.",2
261,@RepAndyBiggsAZ Americans no longer trust the #ReTHUGnicans to protect them from their own stupidity.,1
262,@LilaGraceRose My favorite is spaghetti with marinara sauce and cashew or tofu meatballs.,1
263,@alx @NancyMcNair22025212 @DaleM30865536 You're all so gullible.,1
264,"@paulsperry_ The Indictments and Lawsuits against Trump are not intended to put him in Jail

The Russia Collusion Hoax wasn't Intended to have him removed from the Presidency

The Plan is to Dirty him up and Keep Negative Stories in the News Cycle

Same game plan different Story Line
#Trump",0
265,@POTUS You have no idea what you’re doing. You are a disaster for the planet and you’re doing it to get re-elected.,1
266,@BetoORourke 🤡,0
267,@elonmusk Ancient Rome? Sounds like a wild twist on a battle royale. Can't wait to see the gladiators in the digital arena! 🏆🔥,2
268,"@tweettruth2me @DaleM1954 They're not caused by wind, fire and dry conditions. That's the point.",1
269,@alx @katehale1138 Only cool people on 𝕏 can reply to this,1
270,"@mehdirhasan Jenna Ellis is a perfect example of how the far right uses legal jargon and fake credentials to weaponize the law against anyone who disagrees with them. She's not a lawyer, she's a propagandist with a law degree from a diploma mill. It's disgusting how people like her are still allowed to operate in the public sphere.",2
271,"@glennbeck You're right, Glenn. But when the government starts acting like a rogue agency, it's not just ""not normal""—it's a sign that the system is breaking. And when they start silencing dissent, that's when the real danger begins.",2
272,"@KamalaHarris Capping child care costs at 7% of income for those on federal assistance is a start, but it doesn’t address the systemic issue of high prices across the board. Most working families can’t afford it, regardless of assistance. Real change means making child care affordable for everyone, not just a select few.",2
273,@historyinmemes understanding how the human anatomy works.,0
274,@Jim_Jordan What? You are a WITCH HUNT against Trump? You are an embarrassment to America and a disgrace to your party!,1
275,"@RitchieTorres That's just another sign that George Santos is a fraud. He's probably trying to scam more money while he's still in office. If he's going to run again, he should at least be honest about where his money is coming from.",2
276,@marklevinshow It's the law of unintended consequences.,1
277,@laurenboebert Try working on a border issue when the Russians are on it…,0
278,@kaitlancollins 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,1
279,@robreiner We are living through the most important case brought by the DOJ in US history.,1
280,@SenTuberville @POTUS Cool story 🖕,0
281,"@BretWeinstein You're not just seeing a conspiracy — you're witnessing the collapse of a system that's been weaponized against the people for far too long. The ""racket"" isn't new, but the scale and coordination are unprecedented.",2
282,"@POTUS Sounds great, but where's the plan?",2
283,"@ksorbs We just need term limits.

Across the board.

It is the only blind spot that our forefathers had.",0
284,"@hana___anah Oh, the jig is up, Don the Con. You can't hide behind your lies and theatrics anymore. The truth will out, and it's not pretty.",2
285,@LaurenWitzkeDE Because republicans are the home to white nationalists?,0
286,@joelpollak @staceyabrams Because Idiots are Republicans,1
287,"@realchrisrufo You're not rolling back anything, you're just pretending to.",2
288,"@IAmJohnAles She is in prison for 10 years, you are a dumbass.",1
289,@MikeSington Sounds like they're preparing for a hurricane.,2
290,@SpeakerPelosi @POTUS America wants you back as speaker of the house,0
292,@MarshaBlackburn SEIZED.😊😊,0
293,@BreannaMorello Feeding the alligator and hoping it eats you last.,0
294,@EmeraldRobinson And you still don’t know that he was lying.,1
295,"@Jim_Jordan What internal process makes you think.
That playing tabloid investigator is what your being paid for?
16 years on public dole. You have nothing to show.
Except personal enrichment.",0
296,"@TomFitton Oh, because he's not a foreign agent... he's the President. And you know what they say about people who ask questions but never follow up.",2
297,"@POTUS You're right, but when are you gonna raise the pay for the people who actually build the country? Workers, soldiers, cops, firefighters, etc.?

Teachers are important, but they're not the only ones doing the hard work. Let's talk about real wages, not just a token raise for a small group.",2
298,@RepCori I can't find a single person in the country that does not agree with that statement. You are a moron.,1
299,@ACTBrigitte Me too,1
300,@AnthonySabatini Georgia’s legislature is a bunch of cowards and will not do anything to support a criminal. #LockHimUpAlready,1
301,@BeschlossDC I'm with you!,1
302,@JoeBiden Keep the government out of the public sector.,0
303,@LegacyMotorclub @joshberry This is an awesome time to be a motorsports fan.,1
304,@Ken_Rosenthal @TheAthletic I hope you're kidding. Flaherty has been a complete disaster this year. He's not even a good starter anymore.,1
